User Id,Datetime,Amount
357,1/10/2022,2000
776,1/10/2022,2500
492,1/10/2022,5000
803,1/10/2022,5000
875,1/10/2022,1500
39,1/10/2022,4000
539,1/10/2022,500
560,1/10/2022,2500
30,1/10/2022,25000
367,1/10/2022,1000
831,1/10/2022,955
618,1/10/2022,2000
837,1/10/2022,516
625,1/10/2022,39000
614,1/10/2022,1300
539,1/10/2022,550
557,1/10/2022,5000
28,1/10/2022,50000
674,1/10/2022,5000
526,1/10/2022,5000
749,1/10/2022,1500
202,1/10/2022,4500
235,1/10/2022,1500
423,1/10/2022,500
984,1/10/2022,5000
796,1/10/2022,1100
395,1/10/2022,5000
137,1/10/2022,10000
837,1/10/2022,500
618,1/10/2022,2000
450,1/10/2022,200
914,1/10/2022,2500
565,1/10/2022,50
776,1/10/2022,6000
251,1/10/2022,800
505,1/10/2022,4000
220,1/10/2022,5500
972,1/10/2022,1000
421,1/10/2022,10000
539,1/10/2022,1350
514,1/10/2022,1000
114,1/10/2022,10000
909,1/10/2022,700
881,1/10/2022,6000
390,1/10/2022,3300
9,1/10/2022,1693
972,1/10/2022,65
352,1/10/2022,5000
145,1/10/2022,1000
449,1/10/2022,10203
9,1/10/2022,1752
980,1/10/2022,300
199,1/10/2022,2000
637,1/10/2022,3500
628,1/10/2022,1000
393,1/10/2022,200
445,1/10/2022,2000
628,1/10/2022,1000
367,1/10/2022,1000
586,1/10/2022,500
708,1/10/2022,12000
450,1/10/2022,1000
424,1/10/2022,2000
831,1/10/2022,500
352,1/10/2022,550
139,1/10/2022,500
532,1/10/2022,500
440,1/10/2022,2000
135,1/10/2022,1000
514,1/10/2022,2000
317,1/10/2022,2000
599,1/10/2022,4000
508,1/10/2022,10000
618,1/10/2022,2000
604,1/10/2022,2000
557,1/10/2022,5000
421,1/10/2022,8000
367,1/10/2022,1000
515,1/10/2022,40000
97,1/10/2022,500
695,1/10/2022,1000
390,1/10/2022,200
599,1/10/2022,10000
850,1/10/2022,5000
871,1/10/2022,2900
638,1/10/2022,200
139,1/10/2022,500
548,1/10/2022,100
783,1/10/2022,1000
181,1/10/2022,20000
978,1/10/2022,250
565,1/10/2022,2000
383,1/10/2022,500
366,1/10/2022,1000
654,1/10/2022,1999
959,1/10/2022,10000
618,1/10/2022,2000
860,1/10/2022,1000
763,1/10/2022,50
628,1/10/2022,2000
607,1/10/2022,300
525,1/10/2022,200
658,1/10/2022,1985
614,1/10/2022,700
720,1/10/2022,100
431,1/10/2022,150
390,1/10/2022,3000
844,1/10/2022,500
259,1/10/2022,2500
795,1/10/2022,1000
777,1/10/2022,5000
802,1/10/2022,5000
526,1/10/2022,5000
673,1/10/2022,450
285,1/10/2022,10000
931,1/10/2022,2000
264,1/10/2022,500
560,1/10/2022,4000
114,1/10/2022,5000
422,1/10/2022,2750
613,1/10/2022,200
548,1/10/2022,100
714,1/10/2022,1100
607,1/10/2022,1000
972,1/10/2022,1060
750,1/10/2022,2000
557,1/10/2022,5000
85,1/10/2022,1500
950,1/10/2022,10000
168,1/10/2022,1800
599,1/10/2022,2000
466,1/10/2022,550
539,1/10/2022,400
821,1/10/2022,4000
931,1/10/2022,2200
306,1/10/2022,10000
716,1/10/2022,500
380,1/10/2022,2000
335,1/10/2022,5000
367,1/10/2022,500
920,1/10/2022,12000
667,1/10/2022,2000
400,1/10/2022,11000
557,1/10/2022,5000
783,1/10/2022,130
466,1/10/2022,5000
744,1/10/2022,4000
467,1/10/2022,35000
837,1/10/2022,100
342,1/10/2022,1000
424,1/10/2022,2500
502,1/10/2022,1650
153,1/10/2022,1000
599,1/10/2022,2000
695,1/10/2022,500
893,1/10/2022,500
139,1/10/2022,1000
909,1/10/2022,1000
49,1/10/2022,1000
439,1/10/2022,7500
959,1/10/2022,8000
934,1/10/2022,3000
450,1/10/2022,1000
25,1/10/2022,2000
912,1/10/2022,50
980,1/10/2022,300
900,1/10/2022,250
379,1/10/2022,200
862,1/10/2022,5000
974,1/10/2022,5000
963,1/10/2022,550
972,1/10/2022,250
548,1/10/2022,200
548,1/10/2022,200
873,1/10/2022,1000
633,1/10/2022,3000
670,1/10/2022,2000
907,1/10/2022,250
569,1/10/2022,45000
421,1/10/2022,5000
501,1/10/2022,1000
193,1/10/2022,3000
366,1/10/2022,500
370,1/10/2022,20000
795,1/10/2022,200
614,1/10/2022,2000
677,1/10/2022,6000
972,1/10/2022,100
12,1/10/2022,4001
780,1/10/2022,500
601,1/10/2022,12500
708,1/10/2022,4000
390,1/10/2022,192
844,1/10/2022,500
153,1/10/2022,3000
122,1/10/2022,1000
571,1/10/2022,250
187,1/10/2022,2500
632,1/10/2022,500
915,1/10/2022,18000
599,1/10/2022,4000
558,1/10/2022,1100
239,1/10/2022,2000
719,1/10/2022,300
399,1/10/2022,3000
731,1/10/2022,4000
947,1/10/2022,10200
614,1/10/2022,700
973,1/10/2022,1300
44,1/10/2022,200
420,1/10/2022,500
699,1/10/2022,8000
885,1/10/2022,300
871,1/10/2022,2000
316,1/10/2022,727
565,1/10/2022,8000
950,1/10/2022,20000
182,1/10/2022,65000
539,1/10/2022,2750
740,1/10/2022,20000
181,1/10/2022,50000
71,1/10/2022,1000
168,1/10/2022,2000
247,1/10/2022,5000
561,1/10/2022,500
90,1/10/2022,400
860,1/10/2022,220
5,1/10/2022,500
208,1/10/2022,160000
541,1/10/2022,38
149,1/10/2022,4000
133,1/10/2022,91
390,1/10/2022,200
978,1/10/2022,25004
689,1/10/2022,1000
613,1/10/2022,1000
978,1/10/2022,10001
161,1/10/2022,6000
518,1/10/2022,100
443,1/10/2022,1000
807,1/10/2022,500
193,1/10/2022,4000
44,1/10/2022,400
85,1/10/2022,1500
183,1/10/2022,20000
255,1/10/2022,500
218,1/10/2022,2000
967,1/10/2022,2500
614,1/10/2022,600
380,1/10/2022,2000
987,1/10/2022,2000
695,1/10/2022,500
695,1/10/2022,500
248,1/10/2022,500
341,1/10/2022,5000
373,1/10/2022,10000
294,1/10/2022,7700
637,1/10/2022,250
972,1/10/2022,50
605,1/10/2022,4000
39,1/10/2022,2000
667,1/10/2022,1500
663,1/10/2022,5000
731,1/10/2022,4000
125,1/10/2022,300
660,1/10/2022,510
70,1/10/2022,15000
613,1/10/2022,500
795,1/10/2022,100
915,1/10/2022,12000
248,1/10/2022,300
176,1/10/2022,1000
853,1/10/2022,2222
458,1/10/2022,500
448,1/10/2022,5000
587,1/10/2022,3000
658,1/10/2022,1000
31,1/10/2022,100
60,1/10/2022,2000
400,1/10/2022,5000
587,1/10/2022,12000
17,1/10/2022,500
548,1/10/2022,1000
526,1/10/2022,850
222,1/10/2022,150000
529,1/10/2022,5000
798,1/10/2022,3000
744,1/10/2022,2000
12,1/10/2022,4000
518,1/10/2022,100
327,1/10/2022,75
5,1/10/2022,500
907,1/10/2022,200
314,1/10/2022,1000
837,1/10/2022,500
97,1/10/2022,1000
740,1/10/2022,10000
599,1/10/2022,4000
844,1/10/2022,500
695,1/10/2022,1000
218,1/10/2022,2000
428,1/10/2022,1000
505,1/10/2022,10000
190,1/10/2022,800
856,1/10/2022,5000
740,1/10/2022,20000
450,1/10/2022,500
44,1/10/2022,500
948,1/10/2022,1000
560,1/10/2022,6000
926,1/10/2022,200
455,1/10/2022,5000
931,1/10/2022,1050
22,1/10/2022,1000
424,1/10/2022,2000
539,1/10/2022,1100
950,1/10/2022,12000
985,1/10/2022,2000
607,1/10/2022,1000
586,1/10/2022,1000
566,1/10/2022,20000
259,1/10/2022,4500
259,1/10/2022,15500
305,1/10/2022,1500
945,1/10/2022,2000
306,1/10/2022,20000
667,1/10/2022,1000
72,1/10/2022,600
72,1/10/2022,1000
296,1/10/2022,1000
779,1/10/2022,5100
654,1/10/2022,999
795,1/10/2022,2000
526,1/10/2022,10000
682,1/10/2022,2000
408,1/10/2022,700
106,1/10/2022,2200
299,1/10/2022,30000
586,1/10/2022,2000
987,1/10/2022,4000
896,1/10/2022,10000
871,1/10/2022,8000
294,1/10/2022,10000
82,1/10/2022,25000
18,1/10/2022,200
426,1/10/2022,2500
5,1/10/2022,1000
663,1/10/2022,10000
963,1/10/2022,2000
909,1/10/2022,1000
280,1/10/2022,500
525,1/10/2022,500
871,1/10/2022,5000
681,1/10/2022,10000
844,1/10/2022,500
639,1/10/2022,2000
80,1/10/2022,5500
351,1/10/2022,100
220,1/10/2022,2500
850,1/10/2022,500
628,1/10/2022,2000
348,1/10/2022,4000
85,1/10/2022,2000
763,1/10/2022,2000
777,1/10/2022,1000
338,1/10/2022,2000
342,1/10/2022,2000
673,1/10/2022,550
871,1/10/2022,8000
426,1/10/2022,5000
829,1/10/2022,1000
106,1/10/2022,899
139,1/10/2022,373
157,1/10/2022,2000
53,1/10/2022,7500
254,1/10/2022,1800
185,1/10/2022,2000
519,1/10/2022,2005
351,1/10/2022,400
378,1/10/2022,2750
784,1/10/2022,2000
913,1/10/2022,12000
926,1/10/2022,500
614,1/10/2022,1200
633,1/10/2022,1000
193,1/10/2022,1000
536,1/10/2022,50
744,1/10/2022,500
445,1/10/2022,2000
850,1/10/2022,5000
690,1/10/2022,50
656,1/10/2022,1000
690,1/10/2022,500
393,1/10/2022,300
649,1/10/2022,5000
289,1/10/2022,1000
798,1/10/2022,7000
187,1/10/2022,5000
654,1/10/2022,2100
71,1/10/2022,1000
873,1/10/2022,1000
158,1/10/2022,2000
502,1/10/2022,1650
999,1/10/2022,2000
649,1/10/2022,5000
58,1/10/2022,50
599,1/10/2022,6000
802,1/10/2022,5000
214,1/10/2022,5500
271,1/10/2022,10000
342,1/10/2022,2000
720,1/10/2022,100
289,1/10/2022,2000
467,1/10/2022,1600
854,1/10/2022,10000
869,1/10/2022,10000
139,1/10/2022,500
750,1/10/2022,2000
259,1/10/2022,2500
47,1/10/2022,5000
103,1/10/2022,1000
920,1/10/2022,2000
80,1/10/2022,5500
667,1/10/2022,500
803,1/10/2022,10000
2,1/10/2022,40000
985,1/10/2022,10000
381,1/10/2022,1000
695,1/10/2022,52
875,1/10/2022,1000
478,1/10/2022,500
97,1/10/2022,500
446,1/10/2022,12000
565,1/10/2022,2000
257,1/10/2022,10000
9,1/10/2022,1962
97,1/10/2022,500
596,1/10/2022,5000
97,1/10/2022,2000
869,1/10/2022,10000
614,1/10/2022,3000
424,1/10/2022,2000
90,1/10/2022,1000
458,1/10/2022,1000
379,1/10/2022,333
299,1/10/2022,2000
259,1/10/2022,6500
519,1/10/2022,1003
613,1/10/2022,1000
539,1/10/2022,2200
450,1/10/2022,1000
421,1/10/2022,20000
107,1/10/2022,2000
931,1/10/2022,3750
840,1/10/2022,4000
783,1/10/2022,100
294,1/10/2022,12000
157,1/10/2022,2000
452,1/10/2022,2000
644,1/10/2022,500
599,1/10/2022,2000
77,1/10/2022,1500
139,1/10/2022,500
46,1/10/2022,1000
422,1/10/2022,12000
932,1/10/2022,1000
467,1/10/2022,30000
776,1/10/2022,500
948,1/10/2022,1000
145,1/10/2022,4000
55,1/10/2022,4000
864,1/10/2022,6000
708,1/10/2022,6570
726,1/10/2022,50
141,1/10/2022,25000
534,1/10/2022,200
831,1/10/2022,500
519,1/10/2022,2013
50,1/10/2022,1000
695,1/10/2022,500
644,1/10/2022,1500
133,1/10/2022,150
289,1/10/2022,3000
936,1/10/2022,3000
637,1/10/2022,3400
538,1/10/2022,40000
193,1/10/2022,4000
587,1/10/2022,10000
352,1/10/2022,4600
417,1/10/2022,17000
547,1/10/2022,5000
548,1/10/2022,1000
450,1/10/2022,250
922,1/10/2022,50000
259,1/10/2022,2500
247,1/10/2022,5000
475,1/10/2022,5000
652,1/10/2022,11000
944,1/10/2022,500
678,1/10/2022,12000
139,1/10/2022,500
959,1/10/2022,2000
607,1/10/2022,2000
461,1/10/2022,5000
776,1/10/2022,5000
219,1/10/2022,500
365,1/10/2022,12000
565,1/10/2022,2000
473,1/10/2022,10000
628,1/10/2022,935
888,1/10/2022,500
548,1/10/2022,200
193,1/10/2022,2000
950,1/10/2022,4000
539,1/10/2022,7500
931,1/10/2022,1100
429,1/10/2022,500
16,1/10/2022,3000
972,1/10/2022,300
502,1/10/2022,1650
104,1/10/2022,10000
982,1/10/2022,1250
327,1/10/2022,647
721,1/10/2022,8000
306,1/10/2022,50000
505,1/10/2022,2000
700,1/10/2022,5000
844,1/10/2022,500
218,1/10/2022,4000
497,1/10/2022,300
445,1/10/2022,2000
786,1/10/2022,30000
978,1/10/2022,4444
97,1/10/2022,1000
280,1/10/2022,700
854,1/10/2022,10000
744,1/10/2022,200
240,1/10/2022,10000
309,1/10/2022,2000
909,1/10/2022,6000
280,1/10/2022,500
811,1/10/2022,1035
97,1/10/2022,2000
924,1/10/2022,1500
380,1/10/2022,70
139,1/10/2022,500
695,1/10/2022,500
744,1/10/2022,250
429,1/10/2022,500
950,1/10/2022,12000
259,1/10/2022,7500
39,1/10/2022,4000
