"Player_ID";"Deposit_Amount";"Withdraw_Amount";"Number_of_Games_Played";"Loyalty_Points";"Rank_Position"
714;295000;0;0;2950;1
672;200000;0;0;2000;2
212;199999;0;0;2000;2
438;200000;0;0;2000;2
212;199999;0;0;2000;2
438;200000;0;0;2000;2
208;160000;0;0;1600;7
222;155000;0;0;1550;8
222;150000;0;0;1500;9
200;150000;0;0;1500;9
222;145000;0;0;1450;11
946;110000;0;0;1100;12
540;110000;0;0;1100;12
672;100000;0;0;1000;14
566;100000;0;0;1000;14
102;100000;0;0;1000;14
672;100000;0;0;1000;14
222;100000;0;0;1000;14
890;100000;0;0;1000;14
619;100000;0;0;1000;14
672;100000;0;0;1000;14
212;99999;0;0;1000;14
415;100000;0;0;1000;14
619;100000;0;0;1000;14
566;100000;0;0;1000;14
634;100000;0;0;1000;14
992;99990;0;0;1000;14
740;100000;0;0;1000;14
890;100000;0;0;1000;14
714;100000;0;0;1000;14
200;99999;0;0;1000;14
541;100000;0;0;1000;14
566;100000;0;0;1000;14
672;100000;0;0;1000;14
212;99999;0;0;1000;14
212;99999;0;0;1000;14
740;99500;0;0;995;37
238;99000;0;0;990;38
634;95000;0;0;950;39
417;95000;0;0;950;39
468;95000;0;0;950;39
978;80001;0;0;800;42
764;75000;0;0;750;43
386;70000;0;0;700;44
386;70000;0;0;700;44
569;66600;0;0;666;46
182;65000;0;0;650;47
601;64999;0;0;650;47
182;65000;0;0;650;47
16;65000;0;0;650;47
182;65000;0;0;650;47
714;61000;0;0;610;52
714;61000;0;0;610;52
619;60000;0;0;600;54
672;60000;0;0;600;54
619;60000;0;0;600;54
566;60000;0;0;600;54
569;54000;0;0;540;58
966;52000;0;0;520;59
978;51001;0;0;510;60
672;50000;0;0;500;61
636;50000;0;0;500;61
146;50000;0;0;500;61
976;50000;0;0;500;61
976;50000;0;0;500;61
369;50000;0;0;500;61
212;49999;0;0;500;61
992;50000;0;0;500;61
28;50000;0;0;500;61
181;50000;0;0;500;61
922;50000;0;0;500;61
306;50000;0;0;500;61
467;50000;0;0;500;61
415;50000;0;0;500;61
369;50000;0;0;500;61
897;50000;0;0;500;61
634;50000;0;0;500;61
619;50000;0;0;500;61
369;50000;0;0;500;61
28;50000;0;0;500;61
672;50000;0;0;500;61
222;50000;0;0;500;61
99;50000;0;0;500;61
566;50000;0;0;500;61
30;50000;0;0;500;61
678;50000;0;0;500;61
369;50000;0;0;500;61
772;50000;0;0;500;61
672;50000;0;0;500;61
663;50000;0;0;500;61
99;50000;0;0;500;61
99;50000;0;0;500;61
30;50000;0;0;500;61
146;50000;0;0;500;61
672;50000;0;0;500;61
437;50000;0;0;500;61
566;50000;0;0;500;61
976;50000;0;0;500;61
146;50000;0;0;500;61
229;50000;0;0;500;61
538;50000;0;0;500;61
619;50000;0;0;500;61
601;50000;0;0;500;61
566;50000;0;0;500;61
369;50000;0;0;500;61
99;50000;0;0;500;61
212;49999;0;0;500;61
601;48000;0;0;480;108
202;48000;0;0;480;108
99;48000;0;0;480;108
569;45000;0;0;450;111
569;45000;0;0;450;111
569;45000;0;0;450;111
569;45000;0;0;450;111
238;45000;0;0;450;111
569;45000;0;0;450;111
569;45000;0;0;450;111
569;45000;0;0;450;111
754;44000;0;0;440;119
515;40000;0;0;400;120
2;40000;0;0;400;120
538;40000;0;0;400;120
446;40000;0;0;400;120
538;40000;0;0;400;120
538;40000;0;0;400;120
880;40000;0;0;400;120
653;40000;0;0;400;120
538;40000;0;0;400;120
786;40000;0;0;400;120
538;40000;0;0;400;120
2;40000;0;0;400;120
967;40000;0;0;400;120
538;40000;0;0;400;120
515;40000;0;0;400;120
880;40000;0;0;400;120
559;40000;0;0;400;120
2;40000;0;0;400;120
515;40000;0;0;400;120
538;40000;0;0;400;120
786;40000;0;0;400;120
950;40000;0;0;400;120
547;40000;0;0;400;120
515;40000;0;0;400;120
366;40000;0;0;400;120
46;40000;0;0;400;120
2;40000;0;0;400;120
538;40000;0;0;400;120
959;40000;0;0;400;120
786;40000;0;0;400;120
950;40000;0;0;400;120
538;40000;0;0;400;120
2;40000;0;0;400;120
636;40000;0;0;400;120
740;40000;0;0;400;120
904;40000;0;0;400;120
672;40000;0;0;400;120
538;40000;0;0;400;120
464;40000;0;0;400;120
538;40000;0;0;400;120
146;40000;0;0;400;120
538;40000;0;0;400;120
625;39000;0;0;390;162
566;36000;0;0;360;163
675;35000;0;0;350;164
651;35000;0;0;350;164
414;35000;0;0;350;164
366;35000;0;0;350;164
940;35000;0;0;350;164
467;35000;0;0;350;164
710;35000;0;0;350;164
182;35000;0;0;350;164
515;35000;0;0;350;164
414;35000;0;0;350;164
897;35000;0;0;350;164
602;35000;0;0;350;164
306;35000;0;0;350;164
515;35000;0;0;350;164
476;35000;0;0;350;164
456;35000;0;0;350;164
624;35000;0;0;350;164
976;35000;0;0;350;164
897;35000;0;0;350;164
456;35000;0;0;350;164
786;35000;0;0;350;164
978;35001;0;0;350;164
566;35000;0;0;350;164
153;35000;0;0;350;164
306;35000;0;0;350;164
202;33000;0;0;330;189
714;32000;0;0;320;190
714;32000;0;0;320;190
99;32000;0;0;320;190
299;30000;0;0;300;193
467;30000;0;0;300;193
786;30000;0;0;300;193
772;30000;0;0;300;193
182;30000;0;0;300;193
