"Player_ID";"Activity_Date";"Deposit_Amount";"Withdraw_Amount";"Number_of_Games_Played";"Loyalty_Points"
357;"1/10/2022";2000;0;0;20
776;"1/10/2022";2500;0;0;25
492;"1/10/2022";5000;0;0;50
803;"1/10/2022";5000;0;0;50
875;"1/10/2022";1500;0;0;15
39;"1/10/2022";4000;0;0;40
539;"1/10/2022";500;0;0;5
560;"1/10/2022";2500;0;0;25
30;"1/10/2022";25000;0;0;250
367;"1/10/2022";1000;0;0;10
831;"1/10/2022";955;0;0;10
618;"1/10/2022";2000;0;0;20
837;"1/10/2022";516;0;0;5
625;"1/10/2022";39000;0;0;390
614;"1/10/2022";1300;0;0;13
539;"1/10/2022";550;0;0;6
557;"1/10/2022";5000;0;0;50
28;"1/10/2022";50000;0;0;500
674;"1/10/2022";5000;0;0;50
526;"1/10/2022";5000;0;0;50
749;"1/10/2022";1500;0;0;15
202;"1/10/2022";4500;0;0;45
235;"1/10/2022";1500;0;0;15
423;"1/10/2022";500;0;0;5
984;"1/10/2022";5000;0;0;50
796;"1/10/2022";1100;0;0;11
395;"1/10/2022";5000;0;0;50
137;"1/10/2022";10000;0;0;100
837;"1/10/2022";500;0;0;5
450;"1/10/2022";200;0;0;2
914;"1/10/2022";2500;0;0;25
565;"1/10/2022";50;0;0;1
776;"1/10/2022";6000;0;0;60
251;"1/10/2022";800;0;0;8
505;"1/10/2022";4000;0;0;40
220;"1/10/2022";5500;0;0;55
972;"1/10/2022";1000;0;0;10
421;"1/10/2022";10000;0;0;100
539;"1/10/2022";1350;0;0;14
514;"1/10/2022";1000;0;0;10
114;"1/10/2022";10000;0;0;100
909;"1/10/2022";700;0;0;7
881;"1/10/2022";6000;0;0;60
390;"1/10/2022";3300;0;0;33
9;"1/10/2022";1693;0;0;17
972;"1/10/2022";65;0;0;1
352;"1/10/2022";5000;0;0;50
145;"1/10/2022";1000;0;0;10
449;"1/10/2022";10203;0;0;102
9;"1/10/2022";1752;0;0;18
980;"1/10/2022";300;0;0;3
199;"1/10/2022";2000;0;0;20
637;"1/10/2022";3500;0;0;35
628;"1/10/2022";1000;0;0;10
393;"1/10/2022";200;0;0;2
445;"1/10/2022";2000;0;0;20
586;"1/10/2022";500;0;0;5
708;"1/10/2022";12000;0;0;120
450;"1/10/2022";1000;0;0;10
424;"1/10/2022";2000;0;0;20
831;"1/10/2022";500;0;0;5
352;"1/10/2022";550;0;0;6
139;"1/10/2022";500;0;0;5
532;"1/10/2022";500;0;0;5
440;"1/10/2022";2000;0;0;20
135;"1/10/2022";1000;0;0;10
514;"1/10/2022";2000;0;0;20
317;"1/10/2022";2000;0;0;20
599;"1/10/2022";4000;0;0;40
508;"1/10/2022";10000;0;0;100
604;"1/10/2022";2000;0;0;20
421;"1/10/2022";8000;0;0;80
515;"1/10/2022";40000;0;0;400
97;"1/10/2022";500;0;0;5
695;"1/10/2022";1000;0;0;10
390;"1/10/2022";200;0;0;2
599;"1/10/2022";10000;0;0;100
850;"1/10/2022";5000;0;0;50
